state,dem_fedvotes,rep_fedvotes,oth_fedvotes,year
AL,934576,1882626,36044,2010
AK,137651,266223,107999,2010
AS,6182,4422,356,2010
AZ,1303848,1906125,196656,2010
AR,606131,887040,60911,2010
CA,10366648,8412974,868111,2010
CO,1658754,1710846,176535,2010
CT,1240151,956317,94849,2010
DE,347555,248495,16988,2010
DC,117990,8109,6557,2010
FL,2946536,5649968,1932022,2010
GA,1936863,3018046,69029,2010
GU,35919,0,1502,2010
HI,503658,209066,17980,2010
ID,262941,583652,50081,2010
IL,5237280,5176443,532893,2010
IN,1438117,2039702,198091,2010
IA,851560,1315629,55465,2010
KS,495963,1115311,61947,2010
KY,1106371,1600075,3948,2010
LA,787793,1390801,122347,2010
ME,316156,248170,42,2010
MD,2244587,1329912,84831,2010
MA,1335738,808305,80212,2010
MI,1415212,1671707,107982,2010
MN,1002026,970741,117824,2010
MS,350695,423579,14275,2010
MO,1497800,2157450,209324,2010
MT,121954,217696,20691,2010
NE,137524,327986,20036,2010
NV,680620,678730,64842,2010
NH,368108,503483,34083,2010
NJ,1024730,1055299,41555,2010
NM,308473,289217,0,2010
NY,7618622,4225756,1946939,2010
NC,2349709,2898959,73960,2010
ND,159497,311491,4961,2010
MP,1707,2049,7596,2010
OH,3114409,4221817,304146,2010
OK,487780,1238044,84306,2010
OR,1558876,1223206,89862,2010
PA,3830918,4063090,40054,2010
RI,185711,126951,22405,2010
SC,901921,1564703,192359,2010
SD,146589,381650,19134,2010
TN,541527,955078,62524,2010
TX,1450197,3058228,237188,2010
UT,425921,781148,67255,2010
VT,305287,149102,19310,2010
VI,19844,2329,5493,2010
VA,911116,1186098,92627,2010
WA,2611432,2331330,47741,2010
WV,511215,513098,20008,2010
WI,1959648,2291760,60405,2010
WY,45768,131661,9540,2010
